name,ra,rp,ratio,T,vt,family,method,denom,h,e_phase,energy_max,energy_final,L_max,pericentre_error,apocentre_error,angular_phase_error
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,KDK,12,0.08378782546189324,0.281820119259697,0.005577815026143081,0.0002934325833929297,1.0127093684161014e-15,0.03564966876587593,0.0,0.13300257113010616
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,KDK,12,0.08104736359598931,1.1315280617798433,0.08338819466565228,0.08308544572294478,5.641869669533923e-15,-0.15100435333578185,0.9964712446968499,-6.717082816060461
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,KDK,12,0.5493184136266508,0.1532329109187443,0.01576762088549674,7.424993393773116e-05,8.326672684688674e-16,0.03457229112315541,3.4668994941533526e-07,-0.11924264715925403
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,KDK,12,0.45959017422270937,1.5340279006881814,0.1445741963289845,0.1445741963289845,2.498001805406602e-15,0.06163359445751915,0.1946793080024929,-0.6734018216688824
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,KDK,12,0.4316001812670918,3.2014148627657337,0.6082157397285789,0.5662995451855861,8.014422459012849e-15,0.17273865056944115,2.790923618435278,-17.366646736631
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,KDK,12,10.986290990960471,2.191377256554531,0.07526586642528756,0.0006686625743194588,5.928216707205976e-16,0.10706039208724487,0.0012210373158822562,-2.0775474251787287
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,KDK,12,8.026377197092975,5.145543413783492,0.9746028380575018,0.8014768158554751,2.0308889529320614e-15,0.32604207826113396,5.027237184326409,-37.17304626723152
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,KDK,12,6.855038981730677,148.1312616554211,21.14502509147192,21.026701676195515,1.7789514985215191e-12,1.0757890665689822,147.00464995897215,-39.23822613437175
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,S4G,12,0.12293425779321271,0.002173371671676204,4.6425213429665884e-10,8.692339531084665e-12,8.145815190342614e-16,-8.094426169932833e-05,0.0,-0.0015461267674865553
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,S4G,12,0.18213411820626188,0.0028785884845785024,7.036996086369419e-10,2.68752271231116e-10,4.827396019292964e-16,-7.24073751678933e-05,0.0,-0.002005554928828701
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,S4G,12,0.37282291862045597,0.006644617203054247,2.7260264094362287e-10,1.190717959014651e-11,8.783582808705061e-16,-2.869199328736638e-05,0.0,-0.004693784371873733
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,S4G,12,1.0471975511965976,0.022397428459082356,1.5711167034027085e-08,2.9539772109880382e-09,1.2212453270876722e-15,0.0,0.000153496483273452,-0.015795056016834508
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,S4G,12,3.6275987284684352,0.05532852502881486,2.5605697331343433e-07,1.28149086364715e-07,1.7093001656742792e-15,0.0,0.0005335654632155536,-0.038961169431921405
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,S4G,12,18.213411820626185,0.09716197128920534,9.77557758391941e-07,1.3909281782141048e-07,9.26860035704249e-16,0.0,0.0009962335208459905,-0.06890622613202169
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,S4G,12,0.09217875535684782,0.0002698709231024646,5.130700082508954e-06,3.729016954900552e-09,1.2253583691691582e-15,-6.544555647733374e-05,5.4400101090479325e-08,-0.0002639292217523348
